,index,id,title,comment,uid,timestamp,tourokubi,furigana,editingday,registration,system_title,system_group,netabare,number_of_user,before,before_trial
34,34,50,炉利(ロリ),そのうち誰か立てるだろうと思っていたのに誰も立てない。 おい、みんな、自分の欲望には正直になろうぜっ（笑。 ランク付けに関して 　Ａ：炉利メイン。んで炉利度満点。 　Ｂ：炉利メインだがＡには及ばず。または炉利メインではないが炉利シチュが極めて秀逸。 　Ｃ：炉利メインではないが炉利シチュに見るべきものがある。 　てな感じでお願いします。 　※炉利メインでも炉利度全然なら選外。  何が炉利度ってのは皆様の判断におまかせ。,ComPal,2003-12-12 05:15:31.259106+09,2002-07-30 02:29:54.085297+09,ロリ,1900-01-01 00:00:00+09,t,ロリ,女の子キャラクター,f,4496,t,f
35,35,51,続編、リメイク版がプレイしたい！,終わらせるのはもったいない、続編を作ってくれと思えるような世界観/設定を持ったゲーム、完全版プレイしたいな～と思うようなゲーム、更には昔の作品をリメイクしてほしい！と思えるゲーム。 続編（ファンディスク含む）、リメイク版の有無に関係なく、プレイしたくなるゲームを登録してください。 Ａ：ぜひプレイしたい ～ Ｃ：プレイするかも でお願いします。,hirorin,2003-12-25 21:06:17.671781+09,2002-08-02 13:54:02.11038+09,ゾクヘンリメイク,1900-01-01 00:00:00+09,t,続編希望,ゲームの内容外,f,8117,f,f
36,36,52,声が合ってない！,聞くだけで萎えるような声、演技力のなさすぎる声優、笑ってしまう挿入歌など、シナリオやゲームをぶちこわす声が入ってるゲーム,iso,2003-12-24 06:40:32.889345+09,2002-08-10 12:02:15.601117+09,コエガアッテイナイ,1900-01-01 00:00:00+09,t,声が駄目,音,f,978,f,f
37,37,54,年上スキー,キレーなお姉さんに甘えたい、優しくリードしてほしい、大人の色気に翻弄されたいなど。素敵でエッチなお姉さんが出てくるゲーム。,break brain,2003-12-24 01:28:51.46673+09,2002-08-15 03:14:49.0141+09,トシウエスキー,1900-01-01 00:00:00+09,t,年上,女の子キャラクター,f,2209,t,f
38,38,55,環境周りが快適,ゲーム本編以外のトコで手を抜かず、あなたのエロゲームライフを縁の下から、支えてくれる機能が充実しているゲームを登録してください。 評価対象例は環境設定の充実（オートモードの速度設定の細かさや、スキップのスピード等）、回想モード完備、メッセージウインドウが機能的＆美しい、インストール時や起動＆終了時が楽しげ等です。,break brain,2003-12-20 15:42:38.094552+09,2002-08-15 03:24:07.668933+09,カンキョウマワリガカイテキ,1900-01-01 00:00:00+09,t,環境周りが快適,ここがいい,f,4680,f,t
39,39,56,お口でGO!!,ズバリ”ふぇらちお”シーンがナイスなゲーム（最近はデフォだからね）。 A：このゲームから”ふぇら”シーンを取るなんて考えられない！！！ B：エロエロでナイスな”ふぇら”シーン完備！！ C：一見の価値ある”ふぇら”シーンが潜在、まぁ一度見てみる？てな感じで。,break brain,2003-12-25 21:06:17.529792+09,2002-08-15 03:40:46.144323+09,オクチデゴー,1900-01-01 00:00:00+09,t,フェラ,エロシーン,f,3721,f,f
40,40,57,シナリオがいいゲーム,普通にシナリオがいいと思ったゲームを登録してください！,ap2,2003-12-26 17:07:03.007553+09,2002-08-19 10:46:05.981675+09,シナリオガイイゲーム,1900-01-01 00:00:00+09,t,シナリオがいい,シナリオ,f,12900,f,f
41,41,59,♂×♂,そのまんま、エロゲなのにボーイズラブ要素のあるゲームを教えて欲しいです！エロ+CG有りはA、EDのみはB、雰囲気だけならCって感じでよろしくお願いいたします。,iso,2003-12-20 17:59:57.078094+09,2002-08-26 11:35:03.215898+09,ヤオイ,1900-01-01 00:00:00+09,t,ヤオイ,エロシーン,f,971,f,f
42,42,60,人外のヒロインが魅力的（人間以外のヒロインが魅力的）,設定上、人間では無いヒロインを登録してください。,KURU,2003-12-25 20:51:12.18276+09,2002-08-28 12:18:19.781352+09,ジンガイノヒロイン,1900-01-01 00:00:00+09,t,人間以外,女の子キャラクター,f,3357,t,f
43,43,61,名シーン・名台詞あります,その質は問わず、とにかく必見の価値のある名シーンや名台詞のあるゲーム,KURU,2003-12-25 23:17:58.045218+09,2002-09-15 11:48:03.602422+09,メイシーンメイゼリフアリマス,2004-03-01 17:25:20.804649+09,t,名シーン・名セリフ,ワンポイント,t,6879,f,f
44,44,62,淫乱へと落ちていく「過程」が楽しめるゲーム,調教やＨを重ねるごとに変化が見れる作品。 嫌悪→戸惑い→恥らい→淫乱と認める直前→淫乱→奴隷→人格崩壊　という過程がしっかりしているもの。 特に、中間の過程が重要。いきなり淫乱に早代わりだったり、ある部分では嫌悪剥き出し、他では淫乱といった矛盾が見られるものは×。 方法は特に限定しません。ヒロインの心理的変化と、その整合性が重要です。,thinking man,2003-12-24 05:37:30.852114+09,2002-10-08 03:39:04.725753+09,インランヘトオチテイクカテイガタノシメルゲーム,2006-12-31 04:12:01.488756+09,t,堕ちる過程,ジャンル,f,2090,f,f
45,45,63,ヒロインが異邦人（外国人）,文字通り設定上、外国人である魅力的なヒロインが登場する作品を登録してください。 ハーフ・クォーターでも外国人的なインパクトがあるならば登録可とします。 ABC基準はそのヒロインの印象好感度の度合いで投票をお願いします。,hirorin,2003-12-25 20:51:11.762896+09,2002-10-09 23:32:18.991439+09,ヒロインガイホウジン,1900-01-01 00:00:00+09,t,国際的,女の子キャラクター,f,1878,t,f
46,46,64,一般人にお勧めでないゲーム,気持ち悪いと感じたり、ある一部の人に受けの良いゲーム 難解すぎるゲーム,kim,2003-12-24 03:14:45.564889+09,2002-10-20 00:51:55.705143+09,イッパンジンニオススメデナイゲーム,1900-01-01 00:00:00+09,t,一般人に勧めない,傾向,f,3922,f,f
47,47,65,癒し系ゲーム,ストーリー・世界観・キャラ等、心が癒されるゲーム,karirin,2003-12-25 21:57:52.905537+09,2002-10-20 15:26:44.450242+09,イヤシケイゲーム,1900-01-01 00:00:00+09,t,癒し系,傾向,f,3446,t,f
48,48,66,メイドさん…,最近ふと思いました。どのゲームのメイドさんがみなさんの人気をかっさらっているのか。基準はそのゲームに出てくるメイドさんがどれだけ素晴らしいか、です。できればどのキャラかもコメントしてくださいね。Ａ．最高！惚れた！Ｂ．こいつはお勧め。Ｃ．・・・人によっては好きかも。でお願いします。,kev,2003-12-20 15:42:37.948897+09,2002-10-24 15:23:17.729618+09,メイドサン,1900-01-01 00:00:00+09,t,メイド,女の子キャラクター,f,3454,t,f
