,Unnamed: 0,index,id,gamename,furigana,sellday,brandname,median,stdev,creater,kansouurl,checked,hanbaisuu,average2,median2,count2,comike,shoukai,model,checked2,erogame,galge,elfics,banner_url,admin_checked,max2,min2,gyutto_enc,gyutto_id,dmm,dmm_genre,dmm_genre_2,erogametokuten,total_play_time_median,time_before_understanding_fun_median,dlsite_id,dlsite_domain,the_number_of_uid_which_input_pov,the_number_of_uid_which_input_play,total_pov_enrollment_of_a,total_pov_enrollment_of_b,total_pov_enrollment_of_c,trial_url,trial_h,http_response_code,okazu,axis_of_soft_or_hard,trial_url_update_time,genre,twitter,erogetrailers,tourokubi,digiket,dmm_sample_image_count,dlsite_sample_image_count,gyutto_sample_image_count,digiket_sample_image_count,twitter_search,tgfrontier,gamemeter,twitter_data_widget_id,twitter_data_widget_id_before,twitter_data_widget_id_official,masterup,masterup_tourokubi,steam,dlsite_rental,dmm_subsc,surugaya_1,surugaya_2,surugaya_1_back_image,surugaya_2_back_image,count_all,playrack,vndb,moepedia,笑,つじつまがあっている,感動,鬱,熱血,幼馴染,ツインテール,純愛,無表情
31,31,3125,3509,夏音 -June Strange Song-,ナツノネジューンストレンジソング,2004-05-22,1049,75,14.0,,,t,,69,,42,,,PC,,f,,,,,90,20,,,,,,,,,,,4.0,48.0,27.0,11.0,0.0,,,,,,0001-01-01 00:00:00,,,5595,,,-1,-1,-1,-1,,0,,,,,,,,f,,145013656,0,f,f,65,8290,v208,0,0,0,0,0,0,0,3,0,0
32,32,3129,3585,花暦 全年齢版,ハナゴヨミゼンネンレイバン,2001-12-29,112,75,6.0,,,t,,78,,3,701782.0,http://www.cyc-soft.com/cyc-pro/hana/hana03.htm,PC,,f,,,,,85,75,,,,,,,,,,,1.0,3.0,1.0,0.0,0.0,,,200.0,,,0001-01-01 00:00:00,ガーデニング育成シミュレーション,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145037454,0,f,f,4,23990,,0,0,0,0,0,0,0,0,0,0
33,33,113,3875,鬼斬伝,オリキリデン,2000-01-21,121,10,,,,t,,10,,1,1171.0,,PC,,f,,,,,10,10,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,0001-01-01 00:00:00,AVG,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,0,0,f,f,3,11765,v8371,0,0,0,0,0,0,0,0,0,0
34,34,9,3903,想瞬譜 ～そうしゅんふ～,ソウシュンフ,2004-08-15,1017,75,15.0,,,t,,72,,63,,https://web.archive.org/web/20130520224522/http://www.ne.jp/asahi/meganesky/blackbox/work5.htm,PC,,f,,,,,95,20,,,,,,,5.0,1.0,,,16.0,71.0,58.0,21.0,9.0,,,999.0,,,0001-01-01 00:00:00,ライトビジュアルノベル,,9786,,,-1,-1,-1,-1,,0,,,,,,,,f,,186006198,0,f,f,85,11195,v4690,0,0,0,2,1,0,3,3,14,0
35,35,1412,3984,想瞬 ～つたえたいこと～,ソウシュンツタエタイコト,2003-08-17,1017,70,7.0,,,t,,73,,19,,,PC,,f,,,,,91,65,,,,,,,2.0,2.0,,,4.0,25.0,15.0,4.0,0.0,,,404.0,,,0001-01-01 00:00:00,ライトビジュアルノベル,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,186005599,0,f,f,28,5691,,0,0,0,3,0,0,0,0,3,0
36,36,1455,4136,ひぐらしのなく頃に,ヒグラシノナクコロニ,2004-08-13,1228,85,13.0,,,t,,84,,1092,501865.0,https://07th-expansion.net/hig_gensaku,PC,,f,,,,,100,0,,,,,,,30.0,3.0,,,266.0,1222.0,2193.0,313.0,138.0,,f,200.0,,,2013-02-16 14:25:05.125995,サスペンスアドベンチャーノベル,,0,,,-1,-1,-1,-1,,0,,,,,,,709.0,f,,186006537,186042604,f,f,1345,21091,v67,0,114,16,43,122,11,0,0,0,0
37,37,3147,4170,花帰葬,ハナキソウ,2003-12-28,1237,69,14.0,,,t,,68,,16,,,PC,,f,,,,,95,40,,,,,,,15.0,,,,4.0,19.0,31.0,2.0,0.0,,f,200.0,,,2012-04-15 20:56:03.135249,ビジュアルアドベンチャー,,8947,,,-1,-1,-1,-1,,0,,,,,,,,f,,186005988,0,f,f,26,5721,v3130,0,0,0,3,0,0,0,0,3,0
38,38,3150,4180,ウルトラ魔法少女まなな vol.1,ウルトラマホウショウジョマナナボリュームイチ,2004-08-27,30,65,13.0,,,t,,65,,87,,https://www.alicesoft.com/manana/,PC,,f,GS00005665,,,,90,10,,,,,,,1.0,2.0,,,14.0,101.0,54.0,12.0,9.0,,,200.0,,,0001-01-01 00:00:00,,,750,,,-1,-1,-1,-1,,0,,,,,,,,f,,145015735,0,f,f,136,7788,,0,9,0,0,0,0,3,0,0,0
39,39,1548,4206,ウルトラ魔法少女まなな vol.2,ウルトラマホウショウジョマナナボリュームニ,2004-10-11,30,65,12.0,,,t,,65,,65,,https://www.alicesoft.com/manana/,PC,t,f,GS00006006,,,,89,10,,,,,,,1.0,2.0,,,9.0,73.0,61.0,26.0,12.0,,,200.0,,,0001-01-01 00:00:00,,,750,,,-1,-1,-1,-1,,0,,,,,,,,f,,145012409,0,f,f,102,23102,v2037,0,6,0,0,0,0,8,4,0,0
40,40,1600,4261,ウルトラ魔法少女まなな vol.3,ウルトラマホウショウジョマナナボリュームサン,2004-12-17,30,65,11.0,,,t,,64,,62,111621.0,http://www.alicesoft.com/manana/,PC,t,f,GS00007142,,,,89,20,,,,,,,1.0,2.0,,,9.0,71.0,41.0,16.0,6.0,http://www.alicesoft.com/manana/release.html,,200.0,,,2012-04-16 08:07:24.19657,,,750,,,-1,-1,-1,-1,,0,,,,,,,,f,,145015736,145012185,f,f,108,10649,,0,12,0,0,0,0,4,2,0,0
41,41,545,4273,ペット探偵Y’s,ペットタンテイワイズ,2004-12-10,662,65,21.0,,,t,,65,,2,31454.0,http://kur-mar-ter.product.co.jp/amedeo/product/pdys.html,PC,t,f,,,,,80,50,,,,,,,,,,,1.0,2.0,23.0,11.0,0.0,,,200.0,,,0001-01-01 00:00:00,恋愛+探偵+学園(少々）アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145012157,0,f,f,3,23175,v2245,0,3,0,3,0,0,0,0,3,0
