,index,id,brandname,brandfurigana,makername,makerfurigana,url,checked,kind,lost,directlink,median,http_response_code,twitter,twitter_data_widget_id,notes,erogetrailers,cien
30,30,34,A2,エーツー,ALTACIA,アルタシア,,,CORPORATION,t,f,38.0,,,,,,
31,97,35,HoneyDip,ハニーディップ,ALTACIA,アルタシア,,,CORPORATION,t,f,,,,,,,
32,448,37,forte,フォルテ,有限会社フォルテ,フォルテ,http://www2.odn.ne.jp/rage/forte/index.html,,CORPORATION,t,f,52.0,200.0,,,,989.0,
33,738,38,TEAM暗黒媒体,チームアンコクバイタイ,(有)アーカムプロダクツ,アーカムプロダクツ,,,CORPORATION,t,t,60.0,200.0,,,,453.0,
34,739,39,あんく,アンク,,,,,CORPORATION,t,f,68.0,,,,,451.0,
35,740,40,Ange,アンジェ,,,,,CORPORATION,t,f,60.0,,,,,,
36,741,41,UNKNOWN,アンノウン,,,,,CORPORATION,t,t,64.0,,,,,462.0,
37,742,42,イージーオー,イージーオー,,,http://brand.product.co.jp/ego/,,CORPORATION,t,t,75.0,200.0,,,,1361.0,
38,743,43,EVE,イヴ,,,,,CORPORATION,t,t,50.0,,,,,1744.0,
39,744,44,iMAGE CLUB,イメージクラブ,(有)アーカムプロダクツ,アーカムプロダクツ,,,CORPORATION,t,f,57.0,,,,,1693.0,
40,2868,45,IMAGE CRAFT,イメージクラフト,イメージクラフト,イメージクラフト,,,CORPORATION,t,f,65.0,200.0,,,,100.0,
41,2869,46,ILLUSION(Dreams),イリュージョン,,,http://www.illusion.jp/,,CORPORATION,f,t,70.0,200.0,illusion_online,397182599564505088,,478.0,
42,2870,47,INTERHEART,インターハート,有限会社インターハート,インターハート,https://www.interheart.co.jp/entrance,,CORPORATION,f,f,65.0,200.0,interheart_tw,314737982328406016,,479.0,
43,2871,48,VISIONSOFT,ヴィジョンソフト,,,,,CORPORATION,t,t,31.0,,,,,,
44,2889,49,エスプレッソ,エスプレッソ,,,,,CORPORATION,t,t,23.0,,,,,,
45,2890,50,Witch,ウィッチ,,,https://web.archive.org/web/20050303001316/http://www.witch.gr.jp/,,CORPORATION,t,f,65.0,,,,,480.0,
46,2891,51,WEAPON,ウエポン,,,https://web.archive.org/web/20041214011626/http://www.cosmos.co.jp/weapon/,,CORPORATION,t,t,50.0,,,,,,
47,2892,52,AST,エーエスティー,,,http://ast-studio.gr.jp/,,CORPORATION,f,t,32.0,200.0,,,,1590.0,
48,2893,53,URAN,ウラン,,,,,CORPORATION,t,t,55.0,,,,,1533.0,
49,2894,54,AIR PLANTS,エアプランツ,,,,,CORPORATION,t,t,65.0,,,,,,
50,31,55,エウシュリー,エウシュリー,(有)アーカムプロダクツ,アーカムプロダクツ,https://www.eukleia.co.jp/eushully/,,CORPORATION,f,t,80.0,200.0,eushully_info,315387890018426880,,306.0,
51,2895,56,Sepia,セピア,株式会社エイチ エム ピィ,エッチエムピー,,,CORPORATION,t,f,60.0,,,,,,
52,32,57,evolution,エヴォリューション,有限会社ダイス,ダイス,,,CORPORATION,t,t,60.0,,,,,1415.0,
53,1779,58,Ather,エーテル,アセンブラージュ（株）,アセンブラージュ,http://www.assemblage.co.jp/,,CORPORATION,t,f,70.0,200.0,,,,108.0,
54,1780,59,xyz,エクシーズ,有限会社グランブルー,グランブルー,,,CORPORATION,t,t,60.0,,,,,1692.0,
55,1781,60,EXTREME,エクストリーム,(有)アーカムプロダクツ,アーカムプロダクツ,,,CORPORATION,t,f,58.0,,,,,503.0,
56,1782,61,エクセルタ,エクセルタ,,,,,CORPORATION,t,t,25.0,,,,,,
57,1783,62,えくれあ,エクレア,,,,,CORPORATION,t,t,68.0,,,,,,
58,1784,63,Escu:de,エスクード,有限会社エレメント,エレメント,https://www.escude.co.jp/,,CORPORATION,f,f,74.0,200.0,escude1998,315117828074250242,,65.0,
59,33,64,H・WORKS,エッチワークス,,,,,CORPORATION,t,t,20.0,,,,,,
60,34,65,EDEN,エデン,,,,,CORPORATION,t,t,67.0,,,,,,
61,35,66,F&C,エフアンドシー,（株）F＆C,エフアンドシー,https://fandc.co.jp/,,CORPORATION,f,t,75.0,200.0,FANDC_Staff,313177045377089536,,68.0,
62,5343,67,emu,エミュー,,,,,CORPORATION,t,f,62.0,,,,,517.0,
63,37,69,eLia,エリア,株式会社テイジイエル,テイジイエル,,,CORPORATION,t,t,29.0,,,,,524.0,
64,38,70,elf,エルフ,株式会社エルフ,エルフ,,,CORPORATION,t,t,78.0,200.0,,,,161.0,
65,39,71,Angel Smile,エンジェルスマイル,(株)シーディーブロス,シーディーブロス,,,CORPORATION,t,f,65.0,,,,,533.0,
66,40,72,AngelHearts,エンジェルハーツ,,,,,CORPORATION,t,f,30.0,,,,,534.0,
67,41,73,Overflow,オーバーフロー,,,http://www.0verflow.com/,,CORPORATION,f,t,70.0,200.0,Overflow_staff,335950738436001793,,43.0,
68,42,74,OzPROJECT,オーゼットプロジェクト,イメージクラフト,イメージクラフト,,,CORPORATION,t,t,55.0,200.0,,,,134.0,
69,65,75,OPTiM,オプティム,,,http://optim.product.co.jp/,,CORPORATION,t,t,60.0,200.0,,,,556.0,
70,66,77,海’s,カイズ,,,,,CORPORATION,t,t,30.0,,,,,,
71,67,78,CustomSoftware,カスタムソフトウェア,,,,,CORPORATION,t,f,36.0,200.0,,,,569.0,
72,68,79,Cadath,カダス,,,,,CORPORATION,t,f,50.0,,,,,1373.0,
73,69,80,Guts!,ガッツ,,,,,CORPORATION,t,f,58.0,,,,,1862.0,
74,70,81,KABABOO,カバブー,,,,,CORPORATION,t,t,40.0,,,,,,
75,71,82,Caroly,カロリー,,,,,CORPORATION,t,t,52.0,,,,,,
76,72,83,Key,キー,株式会社ビジュアルアーツ,ビジュアルアーツ,https://key.visualarts.gr.jp/,,CORPORATION,f,f,85.0,200.0,key_official,577095837064409090,,87.0,
77,98,84,戯画,ギガ,株式会社テイジイエル,テイジイエル,http://www.web-giga.com/,,CORPORATION,f,t,80.0,200.0,web_giga,386131969077022720,,119.0,
78,99,85,KISS,キス,,,http://www.kisskiss.tv/,,CORPORATION,f,t,75.0,200.0,kiss_staff,550104053774958592,,120.0,
79,100,87,Cat’s Pro.,キャッツプロ,（有）ぱんだはうす,パンダハウス,https://web.archive.org/web/20060517093536/http://www.pandahouse.net/,,CORPORATION,t,f,70.0,,,,,1624.0,
80,2559,88,Candle,キャンドル,,,,,CORPORATION,t,f,60.0,200.0,,,,607.0,
81,101,89,Cute,キュート,株式会社姫屋ソフト,ヒメヤソフト,,,CORPORATION,t,t,62.0,999.0,,,,,
82,102,90,CureLight,キュアライト,,,,,CORPORATION,t,t,60.0,,,,,,
83,126,91,Guilty,ギルティ,有限会社ウィル,ウィル,http://www.guilty-soft.com/index.html,,CORPORATION,f,f,70.0,200.0,Guilty_WillPlus,322904129263517696,"『このページでは一部、[WillPlus/<a href=""http://www.guilty-soft.com/"">Guilty</a>] 製品の画像素材を加工・引用しています。<br>これらの素材を他へ転載することを禁じます。（C）WillPlus/Guilty』",228.0,
84,127,92,Crime,クライム,,,,,CORPORATION,t,t,55.0,,,,,,
85,128,93,CROWD,クラウド,クラウド,クラウド,http://www.hs-crowd.co.jp/crowd/,,CORPORATION,f,t,66.0,200.0,crowd_anim,421885755300917248,,92.0,
86,2581,94,Grafix,グラフィックス,,,,,CORPORATION,t,t,40.0,,,,,,
87,129,95,CRAFTWORK,クラフトワーク,,,http://craftwork.product.co.jp/,,CORPORATION,f,t,79.0,200.0,craftwork_pr,,,623.0,
88,154,96,GRANDBLUE,グランブルー,,,,,CORPORATION,t,t,0.0,,,,,,
89,155,97,Clear,クリアー,,,,,CORPORATION,t,f,75.0,,,,,626.0,
90,156,98,［k］RIMZON FAKE,クリムゾンフェイク,,,,,CORPORATION,t,t,59.0,,,,,,
91,157,99,Kur-Mar-Ter(クルマレテル),クルマレテル,株式会社ビジュアルアーツ,ビジュアルアーツ,http://kur-mar-ter.product.co.jp/kur-mar-ter/index.html,,CORPORATION,f,t,65.0,200.0,visualantena,,,234.0,
92,158,100,くるみ,クルミ,,,,,CORPORATION,t,f,53.0,,,,,629.0,
93,159,101,Clio,クレイオ,,,,,CORPORATION,t,t,44.0,,,,,,
94,160,102,CROSS NET,クロスネット,（株）クロスネット,（株）クロスネット,http://www.t-apricot.jp/,,CORPORATION,t,f,75.0,,apricot_staff,,,638.0,
95,183,103,Cronus,クロノス,有限会社ブルーグラス,ブルーグラス,,,CORPORATION,t,t,65.0,200.0,,,,641.0,
96,184,104,CLOVER,クローバー,（有）オービット,オービット,http://www.orbit-soft.com/,,CORPORATION,t,t,70.0,200.0,,,,,
97,185,106,CAGE,ケイジ,株式会社　ルーン,ルーン,,,CORPORATION,t,f,65.0,200.0,,,,654.0,
98,186,108,ケロQ,ケロキュウ,,,https://www.keromakura.net/,,CORPORATION,f,t,85.0,200.0,keromakurastaff,421885912335659009,,316.0,
99,187,109,駒屋,コマヤ,（有）サイバーワークス,サイバーワークス,http://cyberworks.jp/,,CORPORATION,t,t,60.0,200.0,,,,,
100,188,110,GONDOLA,ゴンドラ,,,,,CORPORATION,t,t,50.0,,,,,,
101,215,111,CIRCUS,サーカス,,,https://circus-co.jp/,,CORPORATION,f,t,73.0,200.0,circus_info,315368058149552128,,22.0,
102,1274,112,Cyc,サイク,,,http://www.cyc-soft.com/,,CORPORATION,f,t,68.0,200.0,oshirase_cyc,,,675.0,
103,484,113,XUSE,ザウス,,,http://www.xuse.co.jp/,,CORPORATION,t,f,76.0,200.0,xuse_corp,325614916469923840,,69.0,
104,1638,114,SAGA PLANETS,サガプラネッツ,,,http://sagaplanets.product.co.jp/,,CORPORATION,f,f,79.0,200.0,SAGAPLANETS,325989037498306561,,275.0,
105,216,115,さくらソフト,サクラソフト,合資会社　さくらソフト,サクラソフト,,,CORPORATION,t,t,58.0,,,,,,
106,217,116,SUCCUBUS,サッキュバス,,,,,CORPORATION,t,t,60.0,,,,,684.0,
107,218,117,鯖,サバ,,,,,CORPORATION,t,t,50.0,200.0,,,,2370.0,
108,43,119,SARANG,サラン,（有）B.I.G,ビーアイジー,,,CORPORATION,t,t,50.0,,,,,1915.0,
109,2919,120,サンテックジャパン,サンテックジャパン,株式会社サンテックジャパン,サンテックジャパン,,,CORPORATION,t,t,10.0,200.0,,,,,
110,2920,121,Jupiter,ユピテル,ゼウス,ゼウス,,,CORPORATION,t,t,60.0,,,,,,
111,1639,122,し～くえんす,シークエンス,有限会社アクアリウム,アクアリウム,,,CORPORATION,t,t,70.0,999.0,,,,692.0,
112,219,123,G-Crazy,ジークレイジー,,,,,CORPORATION,t,t,40.0,,,,,,
113,220,124,C’s ware,シーズウェア,（株）姫屋ソフト,ヒメヤソフト,,,CORPORATION,t,f,75.0,200.0,,,,361.0,
114,221,125,sheep,シープ,有限会社テックアーツ,テックアーツ,http://www.teck.co.jp/sheep/,,CORPORATION,f,t,57.0,200.0,,,,,
115,244,127,Jade,ジェイド,,,https://web.archive.org/web/20040721060535/http://www.beco.comlink.ne.jp/,,CORPORATION,t,t,60.0,,,,,,
116,245,128,Shape Shifter,シェイプシフター,,,,,CORPORATION,t,t,52.0,,,,,1577.0,
117,2921,129,Jellyfish,ジェリーフィッシュ,,,http://www.jellyfish-pc.com/,,CORPORATION,f,t,75.0,200.0,from_Jellyfish,421886079231205377,,121.0,
118,246,130,Ciel,シエル,,,http://www.sp-janis.com/ciel/,,CORPORATION,f,t,64.0,200.0,,,,703.0,
119,2922,131,SYSTEM ROSE,システムロゼ,,,,,CORPORATION,t,t,60.0,,,,,,
120,2923,132,大熊猫,ジャイアントパンダ,,,,,CORPORATION,t,f,67.0,200.0,,,,732.0,
121,44,133,ZyX,ジックス,株式会社ジックスチャリート,ジックスチャリート,http://www.zyx-game.co.jp/,,CORPORATION,f,t,65.0,200.0,,,,730.0,
122,2924,134,JAST,ジャスト,,,,,CORPORATION,t,t,51.0,,,,,,
123,45,135,JANIS,ジャニス,,,http://www.sp-janis.com/janis/,,CORPORATION,f,t,75.0,200.0,,,,733.0,
